date,announcement_timestamp_utc,policy,source_url,anticipation_risk,expected_direction,affected_sectors,direction,event_id,time_known,scheduled,confounders,event_tags,leak_note,notes,channel_targets,surprise_note,overlap_ack
2023-03-22,2023-03-22T00:00:00+00:00,SHDF Wave 2.1 awards announced; £778m,https://assets.publishing.service.gov.uk/media/6703ed813b919067bb482d53/shdf-wave-2-1-competition-guidance-notes.pdf,medium,positive,insulation_and_materials,tighten,shdf-wave21-awards,false,false,,warm_homes,,inventory row 30; date_grade B,product_revenue,,
2023-09-19,2023-09-19T00:00:00+00:00,Net zero package — PRS EPC C requirement scrapped; off-grid boiler phase-out moved 2026 to 2035; exemptions; BUS raised to £7;500,https://www.carbonbrief.org/in-depth-qa-what-do-rishi-sunaks-u-turns-mean-for-uk-climate-policy/,high,negative,insulation_and_materials;residential_landlords,loosen,net-zero-rollback-2023,false,false,,mees_domestic;boiler_phase_out;boiler_upgrade,leak protocol: t0 moved to 2023-09-19,inventory row 32; date_grade A,residential_stock;product_revenue,"ONE event, not four. The substance broke on the evening of Tuesday 19 September and the leak is why the speech was brought forward, so the information was public before the 20th opened. Landlords and ",
2023-12-13,2023-12-13T00:00:00+00:00,Future Homes and Buildings Standards 2023 consultation launched,https://questions-statements.parliament.uk/written-statements/detail/2023-12-13/hcws119,low,positive,housebuilders,tighten,fhbs-2023-consultation,false,false,,future_homes,,inventory row 34; date_grade A,delivered_stock,,
2023-12-14,2023-12-14T00:00:00+00:00,Redcar hydrogen village not proceeding,https://www.gov.uk/government/publications/hydrogen-village-trial-open-letter-to-gas-distribution-networks,medium,negative,insulation_and_materials,loosen,redcar-hydrogen-cancelled,false,false,,boiler_phase_out,,inventory row 35; date_grade B; groups with fhbs-2023-consultation (1d apart),product_revenue,,true
2024-03-14,2024-03-14T00:00:00+00:00,Clean Heat Market Mechanism delayed to April 2025,https://questions-statements.parliament.uk/written-statements/detail/2024-03-14/hcws341,low,negative,insulation_and_materials,loosen,chmm-delayed,false,false,,boiler_upgrade,,inventory row 36; date_grade A,product_revenue,The boiler manufacturers' obligation. Cleanest single-name shock to the product_revenue channel in the sample.,
2024-10-30,2024-10-30T00:00:00+00:00,Autumn Budget 2024 — £3.4bn Warm Homes Plan; £1.29bn social housing fund,https://commonslibrary.parliament.uk/research-briefings/cbp-10124/,medium,positive,insulation_and_materials,tighten,autumn-budget-2024,false,false,,fiscal_events,,inventory row 37; date_grade A,product_revenue,,
2024-12-04,2024-12-04T00:00:00+00:00,Reforms to the Energy Performance of Buildings regime — consultation,https://gov.uk/government/consultations/reforms-to-the-energy-performance-of-buildings-regime,low,positive,residential_landlords,tighten,epc-reform-consultation,false,false,,epc_regime,,inventory row 38; date_grade A,residential_stock,,
2025-02-07,2025-02-07T00:00:00+00:00,Improving the energy performance of privately rented homes: 2025 update,https://assets.publishing.service.gov.uk/media/67a4e511baccec3af36b3c70/improving-the-energy-performance-of-prs-homes-consultation-document.pdf,low,positive,residential_landlords,tighten,prs-mees-epc-c-reinstated,false,false,,mees_domestic,,inventory row 39; date_grade A,residential_stock,"The mirror image of the September 2023 rollback: same channel, opposite sign, 17 months apart. The most valuable pairing in the study, and the sweep did not have it.",
2025-06-11,2025-06-11T00:00:00+00:00,Spending Review 2025 — £13.2bn Warm Homes Plan confirmed to 2029-30,https://www.nesta.org.uk/blog/what-could-132-billion-do-to-improve-british-homes/,medium,positive,insulation_and_materials,tighten,spending-review-2025,false,false,,fiscal_events,,inventory row 42; date_grade A,product_revenue,Outcome was in genuine doubt beforehand — real surprise content.,
2025-07-02,2025-07-02T00:00:00+00:00,Reformed Decent Homes Standard and social rented MEES consultations,https://consult.communities.gov.uk/decent-homes-team/a-reformed-decent-homes-standard,low,positive,residential_landlords,tighten,dhs-and-social-mees-consultations,false,false,,decent_homes;mees_domestic,,inventory row 43; date_grade A,residential_stock,"Two instruments, one day. One event row.",
2025-11-26,2025-11-26T00:00:00+00:00,Budget 2025 — ECO abolished from 2026-03-31; £2.3bn of levies moved to the Exchequer; ~£150 off household bills,https://www.carbonbrief.org/uk-budget-2025-key-climate-and-energy-announcements/,high,negative,insulation_and_materials,loosen,budget-2025-eco-abolished,false,false,,eco;gbis;fiscal_events,,inventory row 44; date_grade A,product_revenue,The sweep dates this March 2026 — its EFFECT date. Five-month error on the largest demand shock to insulation installers in the sample. Budget measures are routinely pre-briefed; if disclosure was gra,
2026-01-21,2026-01-21T00:00:00+00:00,Warm Homes Plan (£15bn) + PRS MEES government response (EPC C by 2030-10-01; £10k cost cap) + EPC regime partial response,https://gov.uk/government/consultations/reforms-to-the-energy-performance-of-buildings-regime,medium,positive,insulation_and_materials;residential_landlords,tighten,warm-homes-plan,false,false,,warm_homes;mees_domestic;epc_regime,,inventory row 45; date_grade A,residential_stock;product_revenue,"Three documents, one day. One event row.",
2026-01-28,2026-01-28T00:00:00+00:00,Social rented sector MEES — EPC C or equivalent by 2030-04-01,https://consult.communities.gov.uk/decent-homes-team/a-reformed-decent-homes-standard,low,positive,residential_landlords,tighten,social-mees-response,false,false,,mees_domestic,,inventory row 46; date_grade A; groups with warm-homes-plan (7d apart),residential_stock,"Hits registered providers and their contractors, not listed landlords. Check exposure loads on any name in the universe before keeping.",true
2026-03-24,2026-03-24T00:00:00+00:00,Future Homes Standard published — implementation delayed to 2028; 75% emissions cut; solar ≥40% of floor area; heat pumps; in force 2027-03-24 with a 12-month transition,https://www.solarpowerportal.co.uk/energy-policy/future-homes-standard-mandates-low-carbon-housing-from-2028,medium,ambiguous,housebuilders;insulation_and_materials,loosen,future-homes-standard-2026,false,false,,future_homes,,inventory row 47; date_grade A,delivered_stock;product_revenue,"Opposite-signed across two channels under one shock. Also dates the HEM delay, which shortlist_manual.yaml could only place at ""early 2026"".",
