unit_id,attribute,value,as_of_date,knowable_from,source_url,vintage,note,confidence
KRX.IR,revenue_share_insulation,0.2523,2014-12-31,2015-02-23,https://www.kingspan.com/content/dam/kingspan-group-website/documents/2015-reports---presentations/kingspan-full-year-results-report-2015.pdf,FY2014,"Insulation Boards segment turnover EUR477.1m of EUR1891.2m group (segments: Insulated Panels 1111.4, Insulation Boards 477.1, Environmental 147.6, Access Floors 155.1). EXCLUDES Insulated Panels (0.5877 of group) on the same end-market reasoning as the FY2024 row.",high
KRX.IR,uk_revenue_share,0.1914,2019-12-31,2020-02-21,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2020-reports---presentations/kingspan-full-year-results-2019.pdf,FY2019,"United Kingdom EUR891.8m of EUR4659.1m group (ROI 176.0, UK 891.8, Rest of Europe 2286.7, Americas 990.9, Others 313.7). RESTATED the following year to a Britain basis - see the FY2019-restated row, which is the R7 pair.",high
KRX.IR,revenue_share_insulation,0.1882,2019-12-31,2020-02-21,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2020-reports---presentations/kingspan-full-year-results-2019.pdf,FY2019,"Insulation Boards EUR876.9m of EUR4659.1m group (Insulated Panels 3031.9, Insulation Boards 876.9, Light & Air 327.7, Water & Energy 208.1, Data & Flooring 214.5). EXCLUDES Insulated Panels.",high
KRX.IR,uk_revenue_share,0.1821,2019-12-31,2021-02-19,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2021-reports---presentations/kingspan-full-year-results-2020.pdf,FY2020-comparative-restated,"RESTATEMENT per R7, NOT a duplicate. The FY2020 results re-cut geography and restated FY2019 from 'United Kingdom' EUR891.8m to 'Britain' EUR848.4m of the same EUR4659.1m group - the EUR43.4m difference is Northern Ireland leaving the line. Both rows are kept with their own knowable_from so R3 selects by date. Britain UNDERSTATES UK policy exposure by excluding NI, which attenuates the magnitude.",high
KRX.IR,uk_revenue_share,0.1625,2020-12-31,2021-02-19,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2021-reports---presentations/kingspan-full-year-results-2020.pdf,FY2020,"Britain EUR743.6m of EUR4576.0m group (Western & Southern Europe 1633.6, Central & Northern Europe 997.8, Americas 916.0, Britain 743.6, Rest of World 285.0). Britain excludes Northern Ireland, so this understates UK revenue and attenuates the magnitude.",high
KRX.IR,revenue_share_insulation,0.1720,2020-12-31,2021-02-19,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2021-reports---presentations/kingspan-full-year-results-2020.pdf,FY2020,"Insulation Boards EUR787.0m of EUR4576.0m group (Insulated Panels 2917.4, Insulation Boards 787.0, Light & Air 445.5, Water & Energy 202.7, Data & Flooring 223.4). EXCLUDES Insulated Panels.",high
KRX.IR,uk_revenue_share,0.1539,2021-12-31,2022-02-18,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2022-reports---presentations/kingspan-full-year-results-2021.pdf,FY2021,"Britain EUR999.8m of EUR6497.0m group. LAST VINTAGE IN WHICH KINGSPAN DISCLOSES UK REVENUE. Britain moved into Western & Southern Europe this year and survives only in the IFRS 8 materiality paragraph ('attributable to Britain were EUR999.8m (2020: EUR743.6m)'), which is printed because Britain still cleared 15% of group revenue. It fell below 15% in FY2022 and the paragraph disappears from FY2022 onward.",high
KRX.IR,revenue_share_insulation,0.1821,2021-12-31,2022-02-18,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2022-reports---presentations/kingspan-full-year-results-2021.pdf,FY2021,"Insulation EUR1182.9m of EUR6497.0m group (Insulated Panels 4229.2, Insulation 1182.9, Light & Air 552.2, Water & Energy 261.3, Data & Flooring 271.4). EXCLUDES Insulated Panels.",high
ROCK-B.CO,revenue_share_insulation,0.7865,2024-12-31,2025-02-06,https://www.rockwool.com/siteassets/investors/financial-reports/2025/annual-report-2024.pdf,FY2024,"Insulation segment 3,032 MEUR of 3,855 MEUR group revenue. Segment note; the Systems segment (823 MEUR) is facades, ceilings and horticultural substrate and maps to no affected category. knowable_from is the 2025-02-06 results release per R7, not the balance-sheet date.",high
GEN.L,revenue_share_heating_ventilation,0.2829,2023-12-31,2024-03-11,https://www.genuitgroup.com/wp-content/uploads/2024/03/20240311-Genuit-FY23-RNS-Final-1.pdf,FY2023,"Climate Management Solutions 165.9 of 586.5 group. SAME VALUE as the existing FY2024-comparative row but knowable from 2024-03-11, a year earlier: these figures entered the market with the FY2023 results, not with the FY2024 results. The FY2024-comparative row's own note flagged this as still to be curated. THIS IS THE FIRST VINTAGE IN WHICH GENUIT DISCLOSES AN AFFECTED CATEGORY AT ALL - see the FY2022 row's note.",high
GEN.L,uk_revenue_share,0.8851,2023-12-31,2024-03-11,https://www.genuitgroup.com/wp-content/uploads/2024/03/20240311-Genuit-FY23-RNS-Final-1.pdf,FY2023,"Revenue by destination: UK 519.1 of 586.5 group (Rest of Europe 33.4, Rest of World 34.0).",high
GEN.L,revenue_share_insulation,0.0,2023-12-31,2024-03-11,https://www.genuitgroup.com/wp-content/uploads/2024/03/20240311-Genuit-FY23-RNS-Final-1.pdf,FY2023,MEASURED ZERO per R6. Sustainable Building Solutions and Water Management Solutions carry no insulation line.,high
GEN.L,revenue_share_heating_ventilation,0.2549,2022-12-31,2024-03-11,https://www.genuitgroup.com/wp-content/uploads/2024/03/20240311-Genuit-FY23-RNS-Final-1.pdf,FY2023-comparative-restated,"CMS 158.6 of 622.2, FY2022 RESTATED into the three divisions by the FY2023 results: 'The prior year comparatives have been restated to the three divisions.' knowable_from is the FY2023 announcement per R7, NOT the FY2022 one - at the FY2022 announcement this split did not exist. Supports S7.",high
GEN.L,uk_revenue_share,0.9013,2022-12-31,2023-03-14,https://www.genuitgroup.com/wp-content/uploads/2024/03/Final-Results.pdf,FY2022,"UK 560.8 of 622.2. INERT ON ITS OWN: at this vintage Genuit reported two end-market segments (Residential Systems, Commercial and Infrastructure Systems) and disclosed no affected category, so product_revenue correctly returns 'does not apply' however good the UK share is. Recorded because it is verified and because it becomes load-bearing if an affected share for this vintage is ever sourced.",high
GEN.L,uk_revenue_share,0.8987,2021-12-31,2022-03-15,https://www.genuitgroup.com/wp-content/uploads/2022/03/Final-Years-Results-2021_2.pdf,FY2021,"UK 534.1 of 594.3. Inert on its own, as for FY2022.",high
